            model  wins_avg  losses_avg       net
0     v9_i100k_h4  0.867291    0.109272  0.758018
1     v9_i100k_h3  0.784087    0.172529  0.611558
2     v9_i100k_h0  0.754340    0.250999  0.503342
3   v9_i100k_mean  0.728816    0.245619  0.483197
4     v9_i100k_h2  0.721898    0.254024  0.467874
5     v9_i100k_h1  0.682132    0.307838  0.374294
6    v9_i80k_mean  0.664958    0.341448  0.323510
7    v9_i60k_mean  0.610430    0.376275  0.234155
8    v9_i40k_mean  0.546996    0.452350  0.094645
9              v8  0.490680    0.506453 -0.015773
10             v5  0.463696    0.491599 -0.027903
11   v9_i20k_mean  0.436775    0.556136 -0.119361
12    v9_i2k_mean  0.392056    0.596023 -0.203967
13      v9_i2k_h2  0.288765    0.654953 -0.366188
14      v9_i2k_h4  0.275665    0.674564 -0.398899
15      v9_i2k_h3  0.221001    0.740624 -0.519623
16      v9_i2k_h0  0.130143    0.858655 -0.728512
17      v9_i2k_h1  0.120319    0.854387 -0.734068
18          plain  0.144801    0.881100 -0.736299
